strategy,c_fraction,tip_probability,mean_defection_rate,std_defection_rate
sequential,0.01,0.0,0.026180665610142633,0.041217198678477014
sequential,0.019666666666666666,0.0,0.13797488226059657,0.12456074098748483
sequential,0.02933333333333333,0.02,0.3675972006220839,0.15907975862947515
sequential,0.039,0.22,0.4797303543913715,0.07319994085265565
sequential,0.048666666666666664,0.95,0.5119694656488548,0.0370447553249469
sequential,0.05833333333333333,0.99,0.574213313161876,0.054924503940042065
sequential,0.06799999999999999,1.0,0.5997226386806598,0.04545671942117769
sequential,0.07766666666666665,1.0,0.6292279138827023,0.017187017412379074
sequential,0.08733333333333332,1.0,0.6392200147167034,0.014700156446253155
sequential,0.09699999999999999,1.0,0.6460029175784099,0.013812491715721156
sequential,0.10666666666666665,1.0,0.661120751988431,0.01695242960661793
sequential,0.11633333333333332,1.0,0.6683154121863801,0.018220447012313
sequential,0.126,1.0,0.6887917555081735,0.01956112261510118
sequential,0.13566666666666666,1.0,0.6928188865398169,0.024051832053388875
sequential,0.14533333333333331,1.0,0.7037037037037038,0.02093492864691483
sequential,0.155,1.0,0.723998613998614,0.025605311137989733
sequential,0.16466666666666666,1.0,0.7399037800687285,0.027718579612590222
sequential,0.1743333333333333,1.0,0.7532583503749151,0.030929919361481924
sequential,0.184,1.0,0.774581081081081,0.0313593314751739
sequential,0.19366666666666665,1.0,0.7866353887399465,0.03436417944892684
sequential,0.2033333333333333,1.0,0.8206715425531914,0.051257722598773786
sequential,0.213,1.0,0.8350197889182057,0.04664574438398105
sequential,0.22266666666666665,1.0,0.8588547120418848,0.04634631660654583
sequential,0.2323333333333333,1.0,0.8681558441558441,0.04632364904532627
sequential,0.242,1.0,0.8924420103092785,0.047672342612842
sequential,0.25166666666666665,1.0,0.9005242966751917,0.044585294745138324
sequential,0.2613333333333333,1.0,0.9127284263959389,0.043472142948993604
sequential,0.27099999999999996,1.0,0.9268702770780858,0.04022901651388728
sequential,0.2806666666666666,1.0,0.9287125000000002,0.03634368553869232
sequential,0.29033333333333333,1.0,0.9328908188585607,0.035675424128098564
sequential,0.3,1.0,0.946,0.03221675142500576
simultaneous,0.01,0.0,0.02232171156893819,0.02083549286628376
simultaneous,0.019666666666666666,0.0,0.10607535321821038,0.09177942232093791
simultaneous,0.02933333333333333,0.0,0.22944790046656308,0.06237236812341166
simultaneous,0.039,0.0,0.3781510015408321,0.09734783905311137
simultaneous,0.048666666666666664,0.24,0.3963358778625954,0.12729288111353723
simultaneous,0.05833333333333333,0.31,0.4468608169440242,0.12400098395397531
simultaneous,0.06799999999999999,0.27,0.44856071964018,0.1261169527269675
simultaneous,0.07766666666666665,0.4,0.503155159613957,0.12929993663229436
simultaneous,0.08733333333333332,0.77,0.5888888888888889,0.09528899759246645
simultaneous,0.09699999999999999,1.0,0.6525601750547046,0.017442184843645098
simultaneous,0.10666666666666665,1.0,0.6609833694866232,0.006783752539465063
simultaneous,0.11633333333333332,1.0,0.6606236559139786,0.0174874586884503
simultaneous,0.126,1.0,0.6645486851457001,0.013135965777325431
simultaneous,0.13566666666666666,1.0,0.6682593375616631,0.012311965907180051
simultaneous,0.14533333333333331,1.0,0.6929070580013977,0.016536425924640163
simultaneous,0.155,1.0,0.7005751905751906,0.014459633196308103
simultaneous,0.16466666666666666,1.0,0.6941649484536083,0.020556792491889776
simultaneous,0.1743333333333333,1.0,0.7029107021131561,0.020234638788471444
simultaneous,0.184,1.0,0.705418918918919,0.014462316750100153
simultaneous,0.19366666666666665,1.0,0.7068833780160857,0.011795836972849043
simultaneous,0.2033333333333333,1.0,0.7119348404255318,0.011578314322168225
simultaneous,0.213,1.0,0.7136147757255936,0.014604471358401696
simultaneous,0.22266666666666665,1.0,0.7152617801047121,0.010501601919514526
simultaneous,0.2323333333333333,1.0,0.7452467532467533,0.017760163838085808
simultaneous,0.242,1.0,0.7429896907216496,0.02058462009810264
simultaneous,0.25166666666666665,1.0,0.746182864450128,0.016988537827904226
simultaneous,0.2613333333333333,1.0,0.7471890862944163,0.016036773815339845
simultaneous,0.27099999999999996,1.0,0.7528715365239295,0.01924778668466608
simultaneous,0.2806666666666666,1.0,0.7540125000000001,0.018096389819379704
simultaneous,0.29033333333333333,1.0,0.7522332506203475,0.017182298293180725
simultaneous,0.3,1.0,0.7547507692307692,0.01934374003456658
least_loyal_first,0.01,0.0,0.14193343898573693,0.10118416594974583
least_loyal_first,0.019666666666666666,0.0,0.3423076923076923,0.06392533379183575
least_loyal_first,0.02933333333333333,0.09,0.3955054432348367,0.07640705843184421
least_loyal_first,0.039,0.11,0.4242758089368259,0.08383077691369553
least_loyal_first,0.048666666666666664,0.48,0.44293129770992357,0.0754531520490053
least_loyal_first,0.05833333333333333,0.79,0.49588502269288937,0.06440033400260947
least_loyal_first,0.06799999999999999,0.94,0.5241154422788606,0.05104695788111016
least_loyal_first,0.07766666666666665,1.0,0.5748923533778768,0.05558755325683051
least_loyal_first,0.08733333333333332,1.0,0.5946136865342162,0.052937137605701276
least_loyal_first,0.09699999999999999,1.0,0.6131582786287381,0.04544561954481835
least_loyal_first,0.10666666666666665,1.0,0.6400506146059292,0.02087404652582998
least_loyal_first,0.11633333333333332,1.0,0.6485089605734767,0.011284326584642727
least_loyal_first,0.126,1.0,0.6642572850035536,0.018925616047076543
least_loyal_first,0.13566666666666666,1.0,0.6661592670894997,0.014377075046287529
least_loyal_first,0.14533333333333331,1.0,0.6731446540880502,0.018093986935869416
least_loyal_first,0.155,1.0,0.6881774081774082,0.016084867897676113
least_loyal_first,0.16466666666666666,1.0,0.6974845360824743,0.024150639655719452
least_loyal_first,0.1743333333333333,1.0,0.7174778459441036,0.026138133117508896
least_loyal_first,0.184,1.0,0.7354729729729729,0.0314887243061965
least_loyal_first,0.19366666666666665,1.0,0.7375938337801609,0.028195955412192036
least_loyal_first,0.2033333333333333,1.0,0.7695345744680852,0.04863247973017904
least_loyal_first,0.213,1.0,0.7700527704485487,0.032165486205255445
least_loyal_first,0.22266666666666665,1.0,0.8038285340314136,0.04917076527268119
least_loyal_first,0.2323333333333333,1.0,0.8074480519480518,0.0400167919175877
least_loyal_first,0.242,1.0,0.823034793814433,0.044069753260216865
least_loyal_first,0.25166666666666665,1.0,0.849782608695652,0.046087248907078986
least_loyal_first,0.2613333333333333,1.0,0.8483946700507614,0.05065597985632453
least_loyal_first,0.27099999999999996,1.0,0.8628400503778337,0.04487506485472933
least_loyal_first,0.2806666666666666,1.0,0.87376875,0.04642468503929213
least_loyal_first,0.29033333333333333,1.0,0.8845657568238215,0.044881251985605775
least_loyal_first,0.3,1.0,0.9073476923076923,0.04670107658353631
