counter,defense,c_fraction,tip_probability,mean_defection_rate
none,none,0.01,0.0,0.03410459587955626
none,none,0.019666666666666666,0.0,0.15540031397174256
none,none,0.02933333333333333,0.0,0.3575816485225504
none,none,0.039,0.18,0.47243451463790465
none,none,0.048666666666666664,0.96,0.50912213740458
none,none,0.05833333333333333,0.99,0.5705975794251135
none,none,0.06799999999999999,1.0,0.6045877061469266
none,none,0.07766666666666665,1.0,0.6306384558277653
none,none,0.08733333333333332,1.0,0.6350110375275938
none,none,0.09699999999999999,1.0,0.644442013129103
none,none,0.10666666666666665,1.0,0.6576211135213303
none,none,0.11633333333333332,1.0,0.6667741935483871
none,none,0.126,1.0,0.6913859275053303
none,none,0.13566666666666666,1.0,0.7014094432699082
none,none,0.14533333333333331,1.0,0.7091754018169112
none,none,0.155,1.0,0.7301178101178103
none,none,0.16466666666666666,1.0,0.732020618556701
none,none,0.1743333333333333,1.0,0.7569120654396728
none,none,0.184,1.0,0.7731689189189188
none,none,0.19366666666666665,1.0,0.7934718498659517
none,none,0.2033333333333333,1.0,0.8153191489361702
none,none,0.213,1.0,0.8229683377308706
none,none,0.22266666666666665,1.0,0.8661256544502618
none,none,0.2323333333333333,1.0,0.869168831168831
none,none,0.242,1.0,0.8745425257731958
none,none,0.25166666666666665,1.0,0.9077685421994884
none,none,0.2613333333333333,1.0,0.9136738578680204
none,none,0.27099999999999996,1.0,0.9343073047858943
none,none,0.2806666666666666,1.0,0.9308375
none,none,0.29033333333333333,1.0,0.9348759305210921
none,none,0.3,1.0,0.9481846153846153
fragmentation,none,0.01,0.0,0.1430903328050713
fragmentation,none,0.019666666666666666,0.07,0.4253689167974882
fragmentation,none,0.02933333333333333,0.84,0.5417573872472784
fragmentation,none,0.039,0.95,0.5710939907550077
fragmentation,none,0.048666666666666664,0.99,0.5962977099236642
fragmentation,none,0.05833333333333333,1.0,0.625249621785174
fragmentation,none,0.06799999999999999,1.0,0.6419790104947526
fragmentation,none,0.07766666666666665,1.0,0.6687676317743134
fragmentation,none,0.08733333333333332,1.0,0.6886754966887417
fragmentation,none,0.09699999999999999,1.0,0.7002115244347192
fragmentation,none,0.10666666666666665,1.0,0.7319305856832972
fragmentation,none,0.11633333333333332,1.0,0.7409462365591398
fragmentation,none,0.126,1.0,0.7629140014214641
fragmentation,none,0.13566666666666666,1.0,0.7735658914728681
fragmentation,none,0.14533333333333331,1.0,0.7842138364779875
fragmentation,none,0.155,1.0,0.8053083853083852
fragmentation,none,0.16466666666666666,1.0,0.8192714776632303
fragmentation,none,0.1743333333333333,1.0,0.8305657805044306
fragmentation,none,0.184,1.0,0.839918918918919
fragmentation,none,0.19366666666666665,1.0,0.8541353887399461
fragmentation,none,0.2033333333333333,1.0,0.8648337765957447
fragmentation,none,0.213,1.0,0.8715765171503957
fragmentation,none,0.22266666666666665,1.0,0.885962041884817
fragmentation,none,0.2323333333333333,1.0,0.892818181818182
fragmentation,none,0.242,1.0,0.8981572164948456
fragmentation,none,0.25166666666666665,1.0,0.9071291560102301
fragmentation,none,0.2613333333333333,1.0,0.9146954314720811
fragmentation,none,0.27099999999999996,1.0,0.919464735516373
fragmentation,none,0.2806666666666666,1.0,0.9230062500000001
fragmentation,none,0.29033333333333333,1.0,0.9248325062034739
fragmentation,none,0.3,1.0,0.9318276923076922
fragmentation,distributed_leadership,0.01,0.0,0.14095087163232964
fragmentation,distributed_leadership,0.019666666666666666,0.09,0.43628728414442713
fragmentation,distributed_leadership,0.02933333333333333,0.82,0.5430404354587869
fragmentation,distributed_leadership,0.039,0.94,0.5773035439137133
fragmentation,distributed_leadership,0.048666666666666664,0.99,0.5947099236641221
fragmentation,distributed_leadership,0.05833333333333333,1.0,0.6233812405446293
fragmentation,distributed_leadership,0.06799999999999999,1.0,0.6411619190404798
fragmentation,distributed_leadership,0.07766666666666665,1.0,0.6757386785449149
fragmentation,distributed_leadership,0.08733333333333332,1.0,0.6786902133922003
fragmentation,distributed_leadership,0.09699999999999999,1.0,0.7065572574762945
fragmentation,distributed_leadership,0.10666666666666665,1.0,0.7321691973969632
fragmentation,distributed_leadership,0.11633333333333332,1.0,0.746394265232975
fragmentation,distributed_leadership,0.126,1.0,0.7655792466240229
fragmentation,distributed_leadership,0.13566666666666666,1.0,0.7738618745595487
fragmentation,distributed_leadership,0.14533333333333331,1.0,0.7791334730957371
fragmentation,distributed_leadership,0.155,1.0,0.8043104643104643
fragmentation,distributed_leadership,0.16466666666666666,1.0,0.8159793814432991
fragmentation,distributed_leadership,0.1743333333333333,1.0,0.8257259713701433
fragmentation,distributed_leadership,0.184,1.0,0.8413175675675675
fragmentation,distributed_leadership,0.19366666666666665,1.0,0.854959785522788
fragmentation,distributed_leadership,0.2033333333333333,1.0,0.8657646276595744
fragmentation,distributed_leadership,0.213,1.0,0.8704221635883904
fragmentation,distributed_leadership,0.22266666666666665,1.0,0.8866950261780105
fragmentation,distributed_leadership,0.2323333333333333,1.0,0.8929805194805195
fragmentation,distributed_leadership,0.242,1.0,0.900173969072165
fragmentation,distributed_leadership,0.25166666666666665,1.0,0.9058695652173914
fragmentation,distributed_leadership,0.2613333333333333,1.0,0.9110532994923857
fragmentation,distributed_leadership,0.27099999999999996,1.0,0.9158627204030229
fragmentation,distributed_leadership,0.2806666666666666,1.0,0.92236875
fragmentation,distributed_leadership,0.29033333333333333,1.0,0.9279466501240695
fragmentation,distributed_leadership,0.3,1.0,0.9344184615384618
fragmentation,redundant_channels,0.01,0.0,0.1495324881141046
fragmentation,redundant_channels,0.019666666666666666,0.09,0.46185243328100467
fragmentation,redundant_channels,0.02933333333333333,0.92,0.5816951788491447
fragmentation,redundant_channels,0.039,0.94,0.5991294298921418
fragmentation,redundant_channels,0.048666666666666664,1.0,0.6193740458015268
fragmentation,redundant_channels,0.05833333333333333,1.0,0.6379878971255672
fragmentation,redundant_channels,0.06799999999999999,1.0,0.6506446776611693
fragmentation,redundant_channels,0.07766666666666665,1.0,0.6814922048997772
fragmentation,redundant_channels,0.08733333333333332,1.0,0.6898822663723329
fragmentation,redundant_channels,0.09699999999999999,1.0,0.7121517140773157
fragmentation,redundant_channels,0.10666666666666665,1.0,0.7332176428054954
fragmentation,redundant_channels,0.11633333333333332,1.0,0.7509247311827957
